name,line
Narrator, Everyone loves fancy dress parties.
Narrator, Today is Father’s Day
Narrator, It Is the Day When Everyone Thanks Theur Daddy for Being Their Daddy
Daddy Pig, (SIGHS)
Daddy Pig, What a Great Day To Be a Father
Miss Rabbit, WHEE!
George Pig, WHEE!
Peppa Pig, WHEE!
Daddy Pig, WHOOP-EE!
Miss Rabbit," Remember, Ready Steady Go!"
Narrator, Peppa and her family are having a day out.
Daddy Pig," We´re going to see a pond, there´s little fish swimming in it. I used to go there when I was a boy. We are here!"
Peppa, Where is the fish pond?
Daddy Pig, It´s in the middle of the woods. We have to walk to it.
Peppa, But are we going lost like we always do?
Daddy Pig," Oh, no, remember, I came here when I was a little piggy."
Mummy Pig," But that´s a lot time ago, daddy pig"
Peppa, In the olden days
Daddy Pig," Thank you, Peppa. Well, in the olden days we started to walk by going along a path. Ah, this is the one."
Mummy Pig, How do you know?
Daddy Pig," There are little flowers growing here, just like I remember."
Mummy Pig," Things might have changed, daddy pig."
Daddy Pig," Nothing changes that much. Now, we walk past the little trees until we come to a big tree.  "
Mummy Pig, I think the little trees have grown.
Daddy Pig," Oh, yes. They do all seem big, don´t they?"
Mummy Pig, How are we going to find the right big tree?
Daddy Pig, It usually me that walks into trees.
Narrator, Mummy pig has found the big tree.
Peppa," Clever, mummy"
Daddy Pig," Ha, ha, I knew it would still be here."
Daddy Pig," This way, everybody."
Peppa, Are we nearly at the fish pond yet?
Daddy Pig, Almost there.
Peppa, But I´m getting a bit hungry.
Daddy Pig, Don´t worry. There´s a café on the way.
Mummy Pig," Oh, lovely. I can do with a nice cup of coffee."
Peppa," Can George and I have ice creams, please?"
Daddy Pig," Of course, ice creams for everyone. The café should be just about… here... Oh!"
Mummy Pig, Where is the café? It is behind that rotten pile of wood?
Daddy Pig, I think that rotten pile of wood is the café.
Mummy Pig, There is not going to be ice creams coming out of that today.
Mummy Rabbit, Hello! What can I get you?
Mummy Pig, Oh!
Daddy Pig," A cup of coffee and three ice creams, please."
Mummy Rabbit, Of course.
Daddy Pig, Thank you!
Peppa, Mmm…De-licious!
Daddy Pig," Next stop, the fish pond. This way…"
Mummy Rabbit," Oh, you don´t want to go that way. That goes straight into a blackberry bush."
Daddy Pig, Aha! It is the short cut. It´s the way I went when I was a boy.
Mummy Rabbit," Now if you want to go to the fish pond, you need to go up that path."
Daddy Pig," Well, I´m taking the short cut."
Mummy Pig, All right! Who wants to go through a blackberry bush?
Daddy Pig, Me
Mummy Pig, And who wants to go on the path?
Peppa and George, Me!
Peppa," Miss you, daddy!"
Daddy Pig," Oh, I´ll get there first."
Mummy Rabbit, Bye!
Peppa, I hope the fish pond is still here.
Mummy Pig," Yes, everything seems a bit different from what daddy remembers"
Peppa, What´s that?
Mummy Pig, It´s the fish pond.
Peppa," George, let´s see the little fish. Daddy said that the fish were tiny, but they are enormous."
Mummy Pig, It´s been a long time since daddy was here.The fish have got a lot bigger.
Peppa," Like daddy´s tummy. Oh, where is daddy?"
Mummy Pig," Oh, he might be lost. I´d better ring him."
Peppa, There´s a phone ringing in that bush.
Daddy Pig," Hello, Mr. Pig speaking"
Peppa, It´s daddy.
Daddy Pig, Hello! I´m stuck.
Peppa," Hello, daddy."
Mummy Pig," Hang on, we will pull you out. One, two, three…Pull!"
Peppa, Daddy is a blackberry bush
Daddy Pig," Ah, the fish pond, let´s see the little fish. Uh! That´s a big fish."
Peppa," Eh, look, there´s something glittering."
Daddy Pig," They are coins. When I was little, we used to throw a coin in the pond and make a wish"
Peppa, Can we throw coins in?
Mummy Pig, Of course.
Peppa, I wish the fish pond stays here forever.
Daddy Pig, That´s what I wished for when I was a little piggy.
Peppa," And your wish came true, daddy."
Narrator, Peppa and George's cousins are coming to visit today.
Peppa," Mummy, how long before Cousin Chloe is here?"
Mummy," Not long now, Peppa. Baby Alexander is coming too, remember?"
Peppa, Oh. Babies cry all the time! They're so noisy!
Daddy, I'm sure Baby Alexander won't be that noisy. (Hears Baby Alexander crying)
Mummy, What's that sound?
Daddy, Is it a car alarm?
Peppa, Is it a fire engine?
Mummy," (Sees Uncle Pig, Auntie Pig, Cousin Chloe and Baby Alexander arrive) No! It's Baby Alexander!"
Cousin Chloe," Hello, Peppa! Hello, George!"
Peppa," Hello, Cousin Chloe!"
Uncle Pig," Hello, Everyone!"
Mummy," Hello, Uncle Pig!"
Auntie Pig, Hello!
Daddy," Hello, Auntie Pig!"
Auntie Pig," You remember, Baby Alexander, don't you, Peppa?"
Peppa, Yes!
Daddy, Are you staying for a few days?
Auntie Pig, No! This is what Alexander needs for just one day.
Uncle Pig, Can't go anywhere without all these baby things.
Daddy, Oh.
Peppa," Hello, Baby Alexander!"
Cousin Chloe," He can't talk, Peppa!"
Peppa," If he can't talk, then, how do you know what he wants?"
Uncle Pig, We Guess! (Hears Baby Alexander crying) I'm guessing he's hungry!
Auntie Pig, Peppa! Would you like to help feed Alexander?
Peppa, Yes please!
Narrator, It is lunchtime for baby Alexander.
Auntie Pig," Cousin Peppa is going to feed you today, Alexander."
Peppa," Here you are, baby."
Baby Alexander, auh
Peppa, Here it is.
Baby Alexander, auh
Peppa, He keeps turning his head.
Baby Alexander, auh
Narrator, Feeding baby Alexander is quite hard.
Auntie Pig, Watch this. Here comes the airplane. Whoooo
Auntie Pig," You have a go, Peppa."
Peppa," Here comes the aeroplane, wrrrr. Open your mouth and in through the doors. Whoosh"
Peppa, That was an aeroplane. Can you say aeroplane?
Auntie Pig, He hasn't even said his first word yet.
Mummy," Peppa, do you remember what your first word was?"
Peppa, No.
Mummy, It was Mummy.
Daddy, I thought Peppa's first word was Daddy.
Mummy," No, Mummy."
George, Dinosaur.
Daddy, George's first word was dinosaur.
Daddy, Somebody looks like they had a good lunch.
Uncle Pig," Yes. Bath time, I think."
Narrator, Baby Alexander is having a bath.
Baby Alexander, hehe
Peppa, This is Mr. Dinosaur. Can you say dinosaur?
Baby Alexander, [baby babble]
Peppa, But he will talk one day. Then you'll know what he wants.
Uncle Pig," What do you want to do now, Alexander?"
Baby Alexander, [baby babble]
Peppa, I think he wants to go for a walk.
Uncle Pig," He can't walk yet, but he can go out in his buggy."
Daddy, That's a clever little buggy.
Peppa," Blah, blah, blah. That's how daddies talk."
Baby Alexander, hehe
Auntie Pig," Alexander likes it when you talk, Peppa."
Peppa, That's because I am very interesting.
Baby Alexander, [baby babble]
Peppa, The sky is where rain comes from. Can you say rain?
Baby Alexander, [baby babble]
Peppa," Rain is good for ducks and plants, and making muddy puddles!"
Narrator, Peppa has found a big muddy puddle.
Peppa," Look, Alexander. I am jumping up and down in a puddle."
Baby Alexander, hehe
Peppa, I love jumping up and down in puddles.
Baby Alexander, Puddles.
All, Ooooh.
Auntie Pig," Alexander has said his first word, ""puddles."""
Peppa, And I taught him to say it!
Baby Alexander, Puddles.
Narrator, Mummy Pig and Daddy Pig are going out for the evening. Granny Pig and Grandpa Pig are going to babysit.
Peppa Pig, Granny Pig! Grandpa Pig!
George, Gannie ‘ig! ‘Papa ‘ig!
Granny Pig," Hello, my little ones."
Grandpa Pig, Hello.
Mummy Pig," Peppa, George, into your beds, quick."
Daddy Pig," Good-night, my little piggies."
Mummy Pig," Good-night, sleep tight."
Peppa Pig," Good-night, Mummy. Good-night, Daddy."
Granny Pig, What little darlings.
Mummy Pig, Now go to sleep quickly.
Peppa Pig," Yes, Mummy."
Granny Pig, So well-behaved.
Narrator, Mummy Pig and Daddy Pig are leaving for their evening out.
Granny Pig, Peppa and George are so good. They just fell asleep when Mummy Pig told them to.
Grandpa Pig, This babysitting is easy.
Peppa Pig," George. George, are you awake?"
Narrator, What strange noises.
Grandpa Pig, I wonder if we should check upstairs.
Granny Pig," Peppa, George, are you awake?"
Granny Pig," Well, I never. Fast asleep."
Grandpa Pig," So, it wasn’t Peppa and George making all that noise."
Granny Pig, I can’t hear anything.
Grandpa Pig, I think they really have fallen asleep. Let’s watch some television.
TV Programme Host, Gardening. Today we are talking about roses.
Grandpa Pig," Oh, I love gardening programs."
TV Programme Host," The kiftsgate is a particularly thorny rose. To prune it, start by lopping off the head, and then snip away the budding shoots."
Peppa Pig, Granny Pig.
Granny Pig," Peppa, George. You should be in bed asleep."
Peppa Pig, George and I aren’t sleepy at all. Can we watch TV with you?
Granny Pig," Well, I suppose watching a little TV might make you sleepy."
Peppa Pig, Hurrah!
TV Programme Host, Icelandic roses are a rare treat for the discerning horticulturist. But they are prone to lobbing in temperate habitats.
Peppa Pig, This programme is very boring.
Peppa Pig," Grandpa Pig, can we play that game where you throw us up and catch us?"
Grandpa Pig," OK, but just one turn each."
Grandpa Pig, Whee! You seem heavier than before.
Grandpa Pig, Now it’s George’s turn.
Peppa Pig, My turn.
Peppa Pig," Higher, higher!"
Granny Pig, Maybe Grandpa Pig is a bit tired.
Peppa Pig," I know. Granny Pig, let’s play catch."
Granny Pig, Uh...
Peppa Pig, You’re “it.” Catch us if you can.
Peppa Pig, Can’t catch me.
Granny Pig, I’m going to catch you.
Narrator, Mummy Pig and Daddy Pig are back home.
Mummy Pig, I hope our little piggies are asleep.
Daddy Pig, Hello. Anyone here?
Daddy Pig, The little piggies are asleep and so are the big piggies.
Narrator, Mummy Pig and Daddy Pig are going out for the evening. Granny Pig and Grandpa Pig are going to babysit.
Peppa Pig, Granny Pig! Grandpa Pig!
George, Gannie ‘ig! ‘Papa ‘ig!
Granny Pig," Hello, my little ones."
Grandpa Pig, Hello.
Mummy Pig," Peppa, George, into your beds, quick."
Daddy Pig," Good-night, my little piggies."
Mummy Pig," Good-night, sleep tight."
Peppa Pig," Good-night, Mummy. Good-night, Daddy."
Granny Pig, What little darlings.
Mummy Pig, Now go to sleep quickly.
Peppa Pig," Yes, Mummy."
Granny Pig, So well-behaved.
Narrator, Mummy Pig and Daddy Pig are leaving for their evening out.
Granny Pig, Peppa and George are so good. They just fell asleep when Mummy Pig told them to.
Grandpa Pig, This babysitting is easy.
Peppa Pig," George. George, are you awake?"
Narrator, What strange noises.
Grandpa Pig, I wonder if we should check upstairs.
Granny Pig," Peppa, George, are you awake?"
Granny Pig," Well, I never. Fast asleep."
Grandpa Pig," So, it wasn’t Peppa and George making all that noise."
Granny Pig, I can’t hear anything.
Grandpa Pig, I think they really have fallen asleep. Let’s watch some television.
TV Programme Host, Gardening. Today we are talking about roses.
Grandpa Pig," Oh, I love gardening programs."
TV Programme Host," The kiftsgate is a particularly thorny rose. To prune it, start by lopping off the head, and then snip away the budding shoots."
Peppa Pig, Granny Pig.
Granny Pig," Peppa, George. You should be in bed asleep."
Peppa Pig, George and I aren’t sleepy at all. Can we watch TV with you?
Granny Pig," Well, I suppose watching a little TV might make you sleepy."
Peppa Pig, Hurrah!
TV Programme Host, Icelandic roses are a rare treat for the discerning horticulturist. But they are prone to lobbing in temperate habitats.
Peppa Pig, This programme is very boring.
Peppa Pig," Grandpa Pig, can we play that game where you throw us up and catch us?"
Grandpa Pig," OK, but just one turn each."
Grandpa Pig, Whee! You seem heavier than before.
Grandpa Pig, Now it’s George’s turn.
Peppa Pig, My turn.
Peppa Pig," Higher, higher!"
Granny Pig, Maybe Grandpa Pig is a bit tired.
Peppa Pig," I know. Granny Pig, let’s play catch."
Granny Pig, Uh...
Peppa Pig, You’re “it.” Catch us if you can.
Peppa Pig, Can’t catch me.
Granny Pig, I’m going to catch you.
Narrator, Mummy Pig and Daddy Pig are back home.
Mummy Pig, I hope our little piggies are asleep.
Daddy Pig, Hello. Anyone here?
Daddy Pig, The little piggies are asleep and so are the big piggies.
Madame Gazelle," Catch the ball, Peppa"
Peppa Pig, To you Suzy
Suzy Sheep, (laughs)
Danny Dog," To me, Suzy"
Danny Dog," Oh!, Don’t worry I’ll fetch it"
Narrator, It is almost bedtime. Peppa and George are just finishing their supper.
Daddy Pig, [yawns]
Mummy Pig, Daddy Pig.
Daddy Pig," Oh, sorry, I am bit tired. [snorts]"
Peppa Pig, George and I aren't sleepy at all. [snorts]
Mummy Pig, But it's almost your bedtime.
Peppa Pig, Can we play outside for just a tiny bit? Please Mummy. Please Daddy.
Daddy Pig, [laughs] All right. But you must come in when we call you for your bath.
Daddy Pig, [laughs] I don't know where they get their energy from.
Narrator, Peppa and George are playing one last game outside before bedtime.
Peppa Pig," Look George, lots of muddy puddles."
Narrator, Peppa and George are wearing their boots. They are going to jump up and down in muddy puddles.
Narrator, Peppa loves jumping up and down in muddy puddles.
Narrator, George loves jumping up and down in muddy puddles.
Peppa Pig," Look, the biggest puddle in the world!"
Narrator, What a huge big puddle.
Daddy Pig," (off screen) Peppa, George, bath time!"
Peppa Pig, [laughs and snorts]
Mummy Pig," I can see that. Quick, into the bath."
Peppa Pig," Ohh, can't we just play outside a bit longer?"
Daddy Pig," [laughs] No, it's bath time."
Daddy Pig, Are you and George feeling sleepy?
Peppa Pig," No, Daddy. [snorts]"
Daddy Pig," Peppa and George might not be sleepy, but I am."
Mummy Pig, Me too. [yawns]
Narrator," Before bedtime, Peppa and George have their bath."
Narrator, Peppa likes splashing.
Narrator, George likes splashing. Peppa and George both like splashing!
Daddy Pig, That's enough splashing.
Mummy Pig, Let's get you dry and into your pajamas.
Peppa Pig," Oh, can't we just stay in the bath a little bit longer?"
Daddy Pig, [laughs] Bath time is over. [snorts]
Narrator," Before going to bed, Peppa and George clean their teeth."
Mummy Pig," Ok, that's enough brushing. [snorts]"
Peppa Pig," Oh, I think our teeth need a bit more cleaning."
Mummy Pig," When you're in bed, Daddy Pig will read you a story."
Peppa Pig, Hooray!
Narrator, Peppa and George like stories.
Narrator," When Peppa goes to bed, she always has her Teddy tucked up with her. When George goes to bed, he always has Mr. Dinosaur tucked up with him."
Daddy Pig, [snorts]
Peppa Pig," No, Daddy. We need lots and lots of stories."
Mummy Pig," Daddy Pig will read you one story. Now, which book do you want?"
Peppa Pig, Um... [snorts]
Daddy Pig," [laughs] Okay, I'll read you The Red Monkey Book."
Narrator, Peppa and George like The Red Monkey Book.
Daddy Pig," ""Once upon a time..."""
Mummy Pig," [yawns] Oh, sorry Daddy Pig."
Daddy Pig," ""Once upon a time, there was a red monkey, and this red monkey had a bath, and clean his teeth. He got into his bed, and soon he fell fast asleep. Good night, red monkey."""
Narrator, Peppa and George are asleep.
Daddy Pig," Good night, Peppa and George. Sleep well."
Narrator," Now Peppa and George are asleep, Mummy Pig and Daddy Pig are going to watch some television."
Announcer, And now it's time for the amazing Mr. Potato!
Daddy Pig, [snorts]
Announcer," The amazing Mr. Potato is always ready for action. He runs fast, jumps high. He never sleeps!"
Narrator," It is bedtime for Peppa and George, and it looks if it is bedtime for Mummy and Daddy too."
Narrator, Peppa and George are playing at Granny Pig and Grandpa Pig’s house.
Peppa Pig," Grandpa, catch."
Grandpa Pig," Ho-ho-ho-ho, catch."
Grandpa Pig, What’s this?
George, Dinosaur. Grrr.
Grandpa Pig, A dinosaur? Ho-ho-ho-ho.
Peppa Pig," Grandpa, what are you doing?"
Grandpa Pig, I’m planting these seeds.
Peppa Pig, Seeds? What are seeds for?
Grandpa Pig, Seeds grow into plants.
Grandpa Pig, I just dig a little hole and put the seed in. Then I cover it with earth and water it.
Grandpa Pig, Everything in my garden grows from tiny seeds like these.
Peppa Pig, Even the big apple tree?
Grandpa Pig," Oh, yes. These tiny seeds will grow into a little apple tree like this."
Peppa and George, Ooh!
Grandpa Pig, And that little apple tree will grow into a big apple tree like this.
Grandpa Pig, Ouch!
Grandpa Pig, And inside this apple are more seeds.
Peppa Pig, To make more apple trees.
Grandpa Pig, Exactly.
Peppa Pig," Grandpa, Grandpa, I want to plant a seed."
Grandpa Pig, Would you like to plant a strawberry seed?
Peppa Pig," Yes, please."
Grandpa Pig, This seed will grow into a lovely strawberry plant.
Grandpa Pig, I just make a little hole.
Peppa Pig, Then I put the seed in and cover it with earth.
Grandpa Pig, Shall I water it for you?
Peppa Pig," No, no. I want to water it."
Grandpa Pig, Good. Now we wait for it to grow.
Narrator, Peppa and George are waiting for the seed to grow.
Peppa Pig, It’s not doing anything.
Grandpa Pig," Ho-ho-ho-ho-ho. You have to be patient, Peppa. It will take a long time to grow."
Mummy Pig," Peppa, George, it’s time to go home."
Peppa Pig, But we’re waiting for my strawberry plant to grow. I wanted strawberries for tea.
Grandpa Pig," Don’t worry, Peppa. Next time you come, the seed will have grown into a plant."
Peppa Pig, And we’ll have strawberries!
Grandpa Pig, Yes.
Mummy Pig," Come on, Peppa."
Peppa Pig," Bye-bye, Grandpa. Bye-bye, strawberry."
Narrator," Grandpa Pig looks after Peppa’s strawberry plant. After many days Grandpa Pig finds a tiny plant growing. Day by day the plant grows bigger and bigger. Then, one day, Grandpa Pig finds something very special."
Grandpa Pig, Strawberries!
Peppa Pig," Grandpa, we’re back."
Narrator, Peppa and George have come to play again.
Peppa Pig," Grandpa, Grandpa, did my plant grow?"
Grandpa Pig," Yes, look."
Peppa Pig, Strawberries!
Peppa Pig," Thank you, Grandpa."
Peppa Pig," Grandpa, can we plant something else?"
Grandpa Pig," Yes, now it’s George’s turn to choose."
Peppa Pig," Yes, you choose, George. Choose...a carrot."
Peppa Pig," Grandpa, I think George wants to grow carrots."
Grandpa Pig," George, would you like to grow a carrot?"
George, No.
Grandpa Pig, What would you like to grow?
Narrator, George has thought of something he wants to grow.
George, Dinosaur.
Narrator, George wants to grow a dinosaur tree.
Peppa Pig, Silly George. Dinosaurs don’t grow on trees.
George, Dinosaur. Grrr.
Narrator, Today it is raining a little bit.
Mummy Pig," Peppa, George, put your rain clothes on."
Narrator," When it rains, Peppa and George must wear their rain clothes."
George, Yuck! (throws his rain hat on the ground)
Narrator, George does not like wearing his rain hat.
Mummy Pig," George, you must keep your hat on."
George, Why?
Mummy Pig, Because you must keep dry.
George, Why?
Mummy Pig, Because you might catch a cold.
George, Why?
Mummy Pig," George, do you want to play in the garden?"
Mummy Pig, Then keep your hat on.
Peppa," Come on, George!"
Narrator, Peppa and George are going to jump in muddy puddles.
George, Yuck! (throws his rain hat on the mud)
Narrator, George does not want to wear his rain hat.
Mummy Pig, Peppa! George!
Daddy Pig, Come inside! The rain's too heavy to play in now!
Mummy Pig," (oinks twice) Oh, George. Where's your hat?"
Narrator, George has caught a cold.
Mummy Pig," Oh, poor little George. You don't sound well."
Daddy Pig, (oinks) Don't worry. I'll ring Dr. Brown Bear.
 Brown Bear," Dr. Brown Bear speaking. I see. Put George to bed, and I'll be straight round."
Daddy Pig," Thank you, Dr. Brown Bear. Goodbye."
Peppa, (oinks) Will George be taken to hospital and given medicine?
Daddy Pig," No, George just has to go to bed."
Peppa," Oh, so George is not really, properly ill?"
Peppa, Eugh! That's disgusting!
Daddy Pig," George, you have to stay in bed for a bit."
George, No.
Narrator, George does not want to stay in bed.
Daddy Pig," George, you have to stay in bed until you are better."
George, Why?
Daddy, Because you have to keep warm.
George, Why?
Daddy Pig," Uhh, because Dr. Brown bear said so."
 Brown Bear, Hello. Where's my patient?
 Brown Bear," Open wide and say, ""Ahh."""
Narrator, George is a little bit worried.
 Brown Bear," Hmm. Peppa, you're big and brave. Can you show George how to say, ""Ahh?"""
Peppa, (oinks) Of course. Ahhh.
George, (giggles) Ahhh!
 Brown bear, Mm. George has caught a cold.
Peppa, Does George need medicine?
 Brown Bear," No, but he can have some nice, warm milk at bedtime to help him sleep."
Mummy Pig," Thank you, Dr. Brown Bear."
Narrator, George has been in bed all day. Now it is Peppa's bedtime.
Peppa," George, are you better?"
Narrator, George is not better.
Peppa," George, please don't sneeze so loudly."
Peppa, Ugh! This is impossible!
Mummy Pig," George, here's some nice, warm milk to help you sleep."
Narrator," The warm milk makes George feel very, very sleepy."
Daddy Pig," Goodnight, my little piggies. (turns switch off)"
Peppa, (sighs happily) It's so nice and quiet.
Narrator, It is morning.
Narrator, George has slept very well.
George, (holds Mr. Dinosaur in his hands) Grr!
Narrator, George is better.
Daddy Pig," (oinks) Come on, everyone. It's a lovely, sunny day."
Narrator, George is wearing his rain hat. He doesn't want to catch another cold.
Mummy Pig," Oh, George, you don't need to wear your hat."
George, Why?
Daddy Pig, Because it's hot and sunny.
George, Why?
Peppa," George, can you stop saying ""why"" all the time?"
George, Why? (giggles)
Daddy Pig, (laughs) George certainly is better.
Narrator, Peppa and George have had a day out with Granny and Grandpa Pig.
Peppa, (Oink!) Ice Cream!
Narrator, It is Miss Rabbit's Ice Cream Store.
Granny, Let's stop for Ice Cream.
Grandpa, Why not? I think we diverse it. Oink! (Granny Pig stops the car to the stand as they all walk to it.)
Miss Rabbit, Hello there!
Grandpa," Hello, Miss Rabbit! Four Ice Creams please."
Miss Rabbit, Coming right up. What flavours would you like?
Peppa," Strawberry for me, please."
Granny," Chocolate for me, please."
Grandpa," Banana for me, please."
George," Dinosaur, Grawwrr! (Eyeing on the balloon)"
Grandpa, Hoo-oo! I don't think they have Dinosaur Ice Cream!
